Epoch,Training Loss,Validation Loss,Dice,IoU
1,0.9940525313642451,0.9450895079346591,0.2912988390548173,0.225052861157034
2,0.752846882746714,0.6598589211355809,0.49852916578394035,0.41904975607731315
3,0.584626030926479,0.5477868344201599,0.6143413776921671,0.5186296040062295
4,0.5061571818996009,0.44140173619569734,0.6782074179760246,0.5954535886298779
5,0.449908174634949,0.42250500047622724,0.6861647280149682,0.5979277023049288
6,0.42291505303143,0.37827248257953067,0.7236246486042821,0.6349602018677911
7,0.38993341043000906,0.3573999544562295,0.7347540145003518,0.6586754173733468
8,0.3725408991056729,0.3501298715035583,0.7492320361525513,0.6663637511951979
9,0.35174149432317997,0.3754771016884682,0.7204311239164929,0.6471541325020236
